hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,,,,,
,,,1453399200000,18:00,Thursday 21 1 2016 18:00 — 00:00,14,Partly cloudy.,10,8,1020,0,0,94,,,,,
true,22/01/17,22 Jan,1453420800000,00:00,Friday 22 1 2016 00:00 — 06:00,14,Scattered clouds.,5,5,1019,0,0,100,,,,,
,,,1453442400000,06:00,Friday 22 1 2016 06:00 — 12:00,9,Partly cloudy.,14,8,1021,4,110,85,,,,,
,,,1453464000000,12:00,Friday 22 1 2016 12:00 — 18:00,1,Thundershowers. Passing clouds.,17,15,1018,6,70,76,,,,,
,,,1453485600000,18:00,Friday 22 1 2016 18:00 — 00:00,14,Partly cloudy.,11,9,1020,0,0,96,,,,,
true,23/01/17,23 Jan,1453507200000,00:00,Saturday 23 1 2016 00:00 — 06:00,36,No weather data available,,,0,0,0,0,,,,,
,,,1453528800000,06:00,Saturday 23 1 2016 06:00 — 12:00,9,Snow flurries. Passing clouds.,17,8,1021,5,140,82,,,,,
,,,1453550400000,12:00,Saturday 23 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,22,19,1018,4,70,60,,,,,
,,,1453572000000,18:00,Saturday 23 1 2016 18:00 — 00:00,14,Partly cloudy.,15,11,1021,0,0,93,,,,,
true,24/01/17,24 Jan,1453593600000,00:00,Sunday 24 1 2016 00:00 — 06:00,14,Partly cloudy.,10,8,1021,3,290,98,,,,,
,,,1453615200000,06:00,Sunday 24 1 2016 06:00 — 12:00,9,Partly cloudy.,11,8,1020,4,270,96,,,,,
,,,1453636800000,12:00,Sunday 24 1 2016 12:00 — 18:00,1,Thundershowers. Passing clouds.,16,13,1018,10,320,78,,,,,
,,,1453658400000,18:00,Sunday 24 1 2016 18:00 — 00:00,14,Partly cloudy.,10,9,1020,6,270,97,,,,,
true,25/01/17,25 Jan,1453680000000,00:00,Monday 25 1 2016 00:00 — 06:00,36,No weather data available,,,0,0,0,0,,,,,
,,,1453701600000,06:00,Monday 25 1 2016 06:00 — 12:00,9,Partly cloudy.,7,7,1020,4,270,97,,,,,
,,,1453723200000,12:00,Monday 25 1 2016 12:00 — 18:00,2,Passing clouds.,17,17,1016,5,230,61,,,,,
,,,1453744800000,18:00,Monday 25 1 2016 18:00 — 00:00,14,Partly cloudy.,11,8,1017,0,0,92,,,,,
true,26/01/17,26 Jan,1453766400000,00:00,Tuesday 26 1 2016 00:00 — 06:00,14,Partly cloudy.,10,7,1016,0,0,96,,,,,
,,,1453788000000,06:00,Tuesday 26 1 2016 06:00 — 12:00,9,Partly cloudy.,15,10,1017,0,0,88,,,,,
,,,1453809600000,12:00,Tuesday 26 1 2016 12:00 — 18:00,2,Broken clouds.,20,18,1014,5,70,67,,,,,
,,,1453831200000,18:00,Tuesday 26 1 2016 18:00 — 00:00,14,Partly cloudy.,12,11,1016,0,0,94,,,,,
true,27/01/17,27 Jan,1453852800000,00:00,Wednesday 27 1 2016 00:00 — 06:00,36,No weather data available,,,0,0,0,0,,,,,
,,,1453874400000,06:00,Wednesday 27 1 2016 06:00 — 12:00,9,Partly cloudy.,20,10,1016,6,140,78,,,,,
,,,1453896000000,12:00,Wednesday 27 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,24,22,1012,7,180,54,,,,,
,,,1453917600000,18:00,Wednesday 27 1 2016 18:00 — 00:00,14,Partly cloudy.,16,14,1015,0,0,90,,,,,
true,28/01/17,28 Jan,1453939200000,00:00,Thursday 28 1 2016 00:00 — 06:00,14,Partly cloudy.,10,10,1015,0,0,100,,,,,
,,,1453960800000,06:00,Thursday 28 1 2016 06:00 — 12:00,9,Partly cloudy.,20,10,1016,6,250,75,,,,,
,,,1453982400000,12:00,Thursday 28 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,23,22,1014,10,250,48,,,,,
,,,1454004000000,18:00,Thursday 28 1 2016 18:00 — 00:00,14,Partly cloudy.,15,13,1017,0,0,89,,,,,
true,29/01/17,29 Jan,1454025600000,00:00,Friday 29 1 2016 00:00 — 06:00,14,Partly cloudy.,13,13,1017,0,0,98,,,,,
,,,1454047200000,06:00,Friday 29 1 2016 06:00 — 12:00,9,Partly cloudy.,22,13,1018,4,250,79,,,,,
,,,1454068800000,12:00,Friday 29 1 2016 12:00 — 18:00,2,Fog.,25,22,1020,2,0,57,,,,,
,,,1454090400000,18:00,Friday 29 1 2016 18:00 — 00:00,14,Partly cloudy.,17,16,1016,0,0,90,,,,,
true,30/01/17,30 Jan,1454112000000,00:00,Saturday 30 1 2016 00:00 — 06:00,14,Partly cloudy.,14,14,1015,0,0,93,,,,,
,,,1454133600000,06:00,Saturday 30 1 2016 06:00 — 12:00,1,Thunderstorms. Fog.,23,23,1017,6,90,67,,,,,
,,,1454155200000,12:00,Saturday 30 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,24,24,1012,0,0,72,,,,,
,,,1454176800000,18:00,Saturday 30 1 2016 18:00 — 00:00,14,Partly cloudy.,18,17,1014,0,0,94,,,,,
true,31/01/17,31 Jan,1454198400000,00:00,Sunday 31 1 2016 00:00 — 06:00,14,Partly cloudy.,15,15,1014,2,290,99,,,,,
,,,1454220000000,06:00,Sunday 31 1 2016 06:00 — 12:00,9,Partly cloudy.,20,16,1016,8,270,82,,,,,
,,,1454241600000,12:00,Sunday 31 1 2016 12:00 — 18:00,6,Sprinkles. Fog.,19,19,1015,7,290,72,,,,,
,,,1454263200000,18:00,Sunday 31 1 2016 18:00 — 00:00,14,Partly cloudy.,15,14,1017,3,320,91,,,,,
