hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
,,,1455883200000,12:00,"Friday, 19 2 2016, 12:00 — 18:00",6,Snow showers. Ice fog.,29,27,1013,7,340,55
,,,1455904800000,18:00,"Friday, 19 2 2016, 18:00 — 00:00",14,Partly sunny.,23,22,1014,3,320,81
true,"Sat, 20 Feb",20 Feb,1455926400000,00:00,"Saturday, 20 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1455948000000,06:00,"Saturday, 20 2 2016, 06:00 — 12:00",9,Partly sunny.,25,21,1015,10,270,78
,,,1455969600000,12:00,"Saturday, 20 2 2016, 12:00 — 18:00",2,Fog.,28,26,1012,17,270,64
,,,1455991200000,18:00,"Saturday, 20 2 2016, 18:00 — 00:00",14,Partly sunny.,22,20,1015,10,320,86
true,"Sun, 21 Feb",21 Feb,1456012800000,00:00,"Sunday, 21 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1456034400000,06:00,"Sunday, 21 2 2016, 06:00 — 12:00",3,Sunny.,22,22,1016,19,270,63
,,,1456056000000,12:00,"Sunday, 21 2 2016, 12:00 — 18:00",1,Clear.,25,25,1013,19,270,43
,,,1456077600000,18:00,"Sunday, 21 2 2016, 18:00 — 00:00",13,Partly cloudy.,20,18,1015,10,290,66
true,"Mon, 22 Feb",22 Feb,1456099200000,00:00,"Monday, 22 2 2016, 00:00 — 06:00",13,Overcast.,16,15,1014,11,290,76
,,,1456120800000,06:00,"Monday, 22 2 2016, 06:00 — 12:00",1,Clear.,23,16,1015,15,290,60
,,,1456142400000,12:00,"Monday, 22 2 2016, 12:00 — 18:00",1,Partly cloudy.,27,26,1013,24,270,40
,,,1456164000000,18:00,"Monday, 22 2 2016, 18:00 — 00:00",13,Partly cloudy.,21,18,1014,6,270,61
true,"Tue, 23 Feb",23 Feb,1456185600000,00:00,"Tuesday, 23 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1456207200000,06:00,"Tuesday, 23 2 2016, 06:00 — 12:00",1,Clear.,24,24,1014,19,270,47
,,,1456228800000,12:00,"Tuesday, 23 2 2016, 12:00 — 18:00",1,Partly cloudy.,29,28,1010,15,290,30
,,,1456250400000,18:00,"Tuesday, 23 2 2016, 18:00 — 00:00",13,Partly cloudy.,19,16,1012,0,0,76
true,"Wed, 24 Feb",24 Feb,1456272000000,00:00,"Wednesday, 24 2 2016, 00:00 — 06:00",14,Mild.,14,12,1012,0,0,90
,,,1456293600000,06:00,"Wednesday, 24 2 2016, 06:00 — 12:00",9,Mild.,25,13,1014,3,140,68
,,,1456315200000,12:00,"Wednesday, 24 2 2016, 12:00 — 18:00",1,Rain showers. Fog.,30,28,1010,3,90,38
,,,1456336800000,18:00,"Wednesday, 24 2 2016, 18:00 — 00:00",13,Partly cloudy.,19,16,1013,0,0,78
true,"Thu, 25 Feb",25 Feb,1456358400000,00:00,"Thursday, 25 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1456380000000,06:00,"Thursday, 25 2 2016, 06:00 — 12:00",2,Fog.,26,26,1016,7,140,45
,,,1456401600000,12:00,"Thursday, 25 2 2016, 12:00 — 18:00",1,Partly cloudy.,30,27,1013,6,180,42
,,,1456423200000,18:00,"Thursday, 25 2 2016, 18:00 — 00:00",14,Partly sunny.,17,17,1017,0,0,84
true,"Fri, 26 Feb",26 Feb,1456444800000,00:00,"Friday, 26 2 2016, 00:00 — 06:00",14,Mild.,16,14,1017,0,0,92
