Started On,Status,Delay,Reach Time
"03rd, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 04th, Nov"
"06th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 07th, Nov"
"09th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 10th, Nov"
"10th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 11th, Nov"
"13th, Nov, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 14th, Nov"
"15th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 18th, Nov"
"16th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 17th, Nov"
"20th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 21st, Nov"
"22nd, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 24th, Nov"
"23rd, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 24th, Nov"
"24th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 26th, Nov"
"27th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Nov"
"29th, Nov, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 01st, Dec"
"30th, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 02nd, Dec"
"01st, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 04th, Dec"
"04th, Dec, 2016 at 05:15 PM",Late,01 Hr 11 Mins,"08:51 PM on 06th, Dec"
"06th, Dec, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 07th, Dec"
"07th, Dec, 2016 at 09:30 PM",Late,05 Hrs 49 Mins,"01:29 AM on 09th, Dec"
"08th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 09th, Dec"
"11th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 13th, Dec"
"13th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 14th, Dec"
"14th, Dec, 2016 at 05:15 PM",Late,50 Mins,"08:30 PM on 15th, Dec"
"15th, Dec, 2016 at 07:40 PM",Late,02 Hrs 54 Mins,"10:34 PM on 16th, Dec"
"18th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 19th, Dec"
"20th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 21st, Dec"
"21st, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 22nd, Dec"
"22nd, Dec, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 23rd, Dec"
"25th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 26th, Dec"
"27th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Dec"
"28th, Dec, 2016 at 05:40 PM",Late,40 Mins,"08:20 PM on 29th, Dec"
"29th, Dec, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 30th, Dec"
Started On,Status,Delay,Reach Time
,Before Time,Late,On Time
,3.2085561497,90.9090909091,5.8823529412
