sday,stime,eday,MUMH,MUML,DELH,DELL,delay
322,1060,323,32,26,24,13,14
323,1060,324,32,24,26,14,5
324,1060,325,32,22,27,14,15
325,1060,326,32,21,27,16,0
326,1060,327,33,21,26,15,0
327,1060,328,33,23,26,13,35
328,1060,329,32,25,26,16,5
330,1060,332,33,22,25,17,0
331,1060,334,32,23,21,16,10
332,1060,334,34,24,21,16,10
333,1060,335,33,23,22,16,180
334,1060,335,33,22,22,16,160
335,1060,336,33,24,22,13,235
336,1060,337,32,22,23,14,48
337,1060,338,32,22,23,11,15
338,1060,339,33,27,23,11,0
339,1060,340,33,26,22,12,15
340,1060,341,31,25,20,13,145
341,1060,342,31,21,20,9,175
342,1060,343,32,22,23,10,134
343,1060,344,31,21,17,13,130
344,1060,346,31,20,21,13,25
345,1060,346,30,20,25,13,15
346,1060,348,31,22,24,12,15
347,1060,348,32,23,20,13,15
348,1060,349,32,24,20,12,15
349,1060,350,32,25,21,8,14
350,1060,351,33,27,19,11,15
351,1060,354,32,26,19,10,15
352,1060,353,33,25,19,9,8
353,1060,354,30,22,20,13,15
354,1060,355,31,23,21,13,15
355,1060,356,32,23,20,10,15
356,1060,357,32,22,20,9,0
357,1060,358,31,22,19,9,66
358,1060,359,31,22,14,13,10
359,1060,360,31,21,19,11,5
360,1060,361,32,23,20,11,0
361,1060,362,30,23,21,10,10
362,1060,363,31,20,17,11,80
363,1060,364,32,22,14,11,155
364,1060,365,33,21,16,16,120
365,1060,1,32,23,20,10,93
